Resistance	Thickness	Time_R	Time_T
1000000000	0	15:09:59.908626	15:09:59.909208
1000000000	0	15:10:00.096456	15:10:00.111140
1000000000	0	15:10:00.303476	15:10:00.304622
1000000000	0	15:10:00.808229	15:10:00.808781
1000000000	0	15:10:01.204486	15:10:01.205696
1000000000	0	15:10:01.500799	15:10:01.501082
1000000000	0	15:10:01.796531	15:10:01.811134
1000000000	0	15:10:01.998685	15:10:01.998983
1000000000	0	15:10:02.297343	15:10:02.311392
1000000000	0	15:10:02.498940	15:10:02.499237
1000000000	0	15:10:02.701931	15:10:02.702521
1000000000	0	15:10:02.996906	15:10:03.011673
1000000000	0	15:10:03.203236	15:10:03.203523
1000000000	0	15:10:03.498418	15:10:03.498778
1000000000	0	15:10:03.700193	15:10:03.700550
1000000000	0	15:10:04.000208	15:10:04.000501
1000000000	0	15:10:04.202469	15:10:04.202759
1000000000	0	15:10:04.498773	15:10:04.499065
1000000000	0	15:10:04.703375	15:10:04.703663
1000000000	0	15:10:05.002385	15:10:05.002670
1000000000	0	15:10:05.206423	15:10:05.206706
1000000000	0	15:10:05.505401	15:10:05.505693
1000000000	0	15:10:05.694240	15:10:05.708309
1000000000	0	15:10:06.007083	15:10:06.007376
1000000000	0	15:10:06.196457	15:10:06.211321
1000000000	0	15:10:06.494978	15:10:06.509039
1000000000	0	15:10:06.698353	15:10:06.698662
1000000000	0	15:10:06.994914	15:10:07.009170
1000000000	0	15:10:07.198989	15:10:07.199299
1000000000	0	15:10:07.402134	15:10:07.402447
1000000000	0	15:10:07.698960	15:10:07.699244
1000000000	0	15:10:07.899123	15:10:07.899490
1000000000	0	15:10:08.195304	15:10:08.210311
1000000000	0	15:10:08.399260	15:10:08.399657
1000000000	0	15:10:08.693891	15:10:08.708064
1000000000	0	15:10:08.895931	15:10:08.910351
1000000000	0	15:10:09.193953	15:10:09.208146
1000000000	0	15:10:09.394784	15:10:09.409831
1000000000	0	15:10:09.694212	15:10:09.708244
1000000000	0	15:10:09.899332	15:10:09.899623
1000000000	0	15:10:10.195712	15:10:10.210579
1000000000	0	15:10:10.399646	15:10:10.399946
1000000000	0	15:10:10.695733	15:10:10.710280
1000000000	0	15:10:10.897388	15:10:10.897732
1000000000	0	15:10:11.101277	15:10:11.101891
1000000000	0	15:10:11.397064	15:10:11.397350
1000000000	0.001	15:10:11.600436	15:10:11.600740
1000000000	0.001	15:10:11.992303	15:10:11.996166
1000000000	0.001	15:10:12.100082	15:10:12.100489
1000000000	0.001	15:10:12.396701	15:10:12.396995
1000000000	0.001	15:10:12.597402	15:10:12.597803
1000000000	0.001	15:10:12.893126	15:10:12.907990
1000000000	0.001	15:10:13.096446	15:10:13.096737
1000000000	0.001	15:10:13.395526	15:10:13.395913
1000000000	0.001	15:10:13.598928	15:10:13.599237
